pair	timestamp	bid	ask	last_trade	rolling_24_hour_volume	status
XRPZAR	1655793257133	5.36000000	5.37000000	5.37000000	4028138.00000000	ACTIVE
XRPZAR	1655795067693	5.37000000	5.38000000	5.37000000	4083910.00000000	ACTIVE
XRPZAR	1655796877547	5.34000000	5.35000000	5.35000000	4039487.00000000	ACTIVE
XRPZAR	1655798687588	5.34000000	5.35000000	5.35000000	4076464.00000000	ACTIVE
XRPZAR	1655800497284	5.35000000	5.36000000	5.36000000	3715850.00000000	ACTIVE
XRPZAR	1655802307261	5.38000000	5.39000000	5.38000000	3698740.00000000	ACTIVE
XRPZAR	1655804117190	5.36000000	5.37000000	5.36000000	3881740.00000000	ACTIVE
XRPZAR	1655805927160	5.33000000	5.34000000	5.34000000	3901352.00000000	ACTIVE
XRPZAR	1655807736947	5.35000000	5.36000000	5.36000000	4010035.00000000	ACTIVE
XRPZAR	1655809546829	5.38000000	5.39000000	5.38000000	3614590.00000000	ACTIVE
XRPZAR	1655811356663	5.33000000	5.34000000	5.34000000	3512855.00000000	ACTIVE
XRPZAR	1655813166857	5.31000000	5.32000000	5.32000000	3463427.00000000	ACTIVE
XRPZAR	1655814976535	5.31000000	5.32000000	5.32000000	3487714.00000000	ACTIVE
XRPZAR	1655816786512	5.33000000	5.34000000	5.34000000	3363780.00000000	ACTIVE
XRPZAR	1655818596395	5.37000000	5.38000000	5.37000000	3289357.00000000	ACTIVE
XRPZAR	1655820406303	5.39000000	5.40000000	5.40000000	3398736.00000000	ACTIVE
XRPZAR	1655822216719	5.41000000	5.42000000	5.42000000	3739422.00000000	ACTIVE
XRPZAR	1655824028218	5.40000000	5.41000000	5.42000000	3744264.00000000	ACTIVE
XRPZAR	1655825840298	5.42000000	5.43000000	5.42000000	3741872.00000000	ACTIVE
XRPZAR	1655827220634	5.38000000	5.39000000	5.39000000	3763697.00000000	ACTIVE
XRPZAR	1655829029966	5.40000000	5.42000000	5.42000000	3798410.00000000	ACTIVE
XRPZAR	1655830840533	5.40000000	5.41000000	5.41000000	3875794.00000000	ACTIVE
XRPZAR	1655832650377	5.43000000	5.44000000	5.43000000	3879265.00000000	ACTIVE
XRPZAR	1655834460029	5.40000000	5.41000000	5.40000000	3878074.00000000	ACTIVE
XRPZAR	1655836269933	5.39000000	5.40000000	5.41000000	3743396.00000000	ACTIVE
XRPZAR	1655838079973	5.38000000	5.40000000	5.39000000	3634833.00000000	ACTIVE
XRPZAR	1655839906257	5.40000000	5.41000000	5.41000000	3621167.00000000	ACTIVE
XRPZAR	1655841621201	5.31000000	5.32000000	5.32000000	3758742.00000000	ACTIVE
XRPZAR	1655843431133	5.31000000	5.32000000	5.32000000	3880590.00000000	ACTIVE
XRPZAR	1655845257986	5.31000000	5.32000000	5.32000000	3876170.00000000	ACTIVE
XRPZAR	1655847083608	5.34000000	5.35000000	5.35000000	3839753.00000000	ACTIVE
XRPZAR	1655848912326	5.33000000	5.34000000	5.34000000	3832070.00000000	ACTIVE
XRPZAR	1655850740444	5.33000000	5.34000000	5.33000000	3777831.00000000	ACTIVE
XRPZAR	1655852568219	5.37000000	5.38000000	5.38000000	3757405.00000000	ACTIVE
XRPZAR	1655854397435	5.30000000	5.31000000	5.30000000	3757068.00000000	ACTIVE
XRPZAR	1655856224978	5.32000000	5.34000000	5.33000000	3762553.00000000	ACTIVE
XRPZAR	1655858054446	5.31000000	5.32000000	5.32000000	4004238.00000000	ACTIVE
XRPZAR	1655859882366	5.29000000	5.31000000	5.30000000	4074735.00000000	ACTIVE
XRPZAR	1655861710051	5.34000000	5.35000000	5.35000000	4068680.00000000	ACTIVE
XRPZAR	1655863542727	5.26000000	5.27000000	5.26000000	4106689.00000000	ACTIVE
XRPZAR	1655865373263	5.26000000	5.27000000	5.27000000	4116651.00000000	ACTIVE
XRPZAR	1655867205541	5.27000000	5.28000000	5.28000000	4141590.00000000	ACTIVE
XRPZAR	1655869035876	5.26000000	5.27000000	5.27000000	4153651.00000000	ACTIVE
XRPZAR	1655870867358	5.26000000	5.27000000	5.26000000	4239774.00000000	ACTIVE
XRPZAR	1655872697979	5.25000000	5.26000000	5.26000000	4206134.00000000	ACTIVE
XRPZAR	1655874528405	5.29000000	5.30000000	5.29000000	4204101.00000000	ACTIVE
XRPZAR	1655876363163	5.30000000	5.31000000	5.30000000	4173531.00000000	ACTIVE
XRPZAR	1655878196101	5.29000000	5.30000000	5.29000000	4029142.00000000	ACTIVE
XRPZAR	1655880028736	5.23000000	5.24000000	5.24000000	3984338.00000000	ACTIVE
XRPZAR	1655881861320	5.23000000	5.24000000	5.23000000	3957277.00000000	ACTIVE
XRPZAR	1655883694119	5.24000000	5.25000000	5.24000000	3918743.00000000	ACTIVE
XRPZAR	1655885528599	5.25000000	5.26000000	5.25000000	3866318.00000000	ACTIVE
XRPZAR	1655887363050	5.24000000	5.25000000	5.24000000	3822436.00000000	ACTIVE
XRPZAR	1655889201898	5.26000000	5.27000000	5.27000000	3700776.00000000	ACTIVE
XRPZAR	1655891037401	5.25000000	5.26000000	5.26000000	3693882.00000000	ACTIVE
XRPZAR	1655892871955	5.23000000	5.24000000	5.23000000	3619609.00000000	ACTIVE
XRPZAR	1655894706803	5.22000000	5.23000000	5.23000000	3573657.00000000	ACTIVE
XRPZAR	1655896541698	5.25000000	5.26000000	5.26000000	3518725.00000000	ACTIVE
XRPZAR	1655898377510	5.27000000	5.28000000	5.27000000	3427652.00000000	ACTIVE
XRPZAR	1655900212990	5.24000000	5.25000000	5.25000000	3423262.00000000	ACTIVE
XRPZAR	1655902047875	5.22000000	5.23000000	5.22000000	3432895.00000000	ACTIVE
XRPZAR	1655902821009	5.24000000	5.26000000	5.25000000	3436829.00000000	ACTIVE
XRPZAR	1655904630334	5.26000000	5.27000000	5.26000000	3393985.00000000	ACTIVE
XRPZAR	1655906468512	5.30000000	5.31000000	5.32000000	3236852.00000000	ACTIVE
